7	Comment se remettre en marche?
8	Comment permettre à tout le monde de réaliser son plein potentiel?
13	Comment enclencher la transition?
4	Comment reprendre le pouvoir?
5	Comment développer le Québec selon nos priorités?
12	Comment prendre soin de tout le monde?
9	Comment construire la solidarité entre nous?
11	Comment favoriser une création artistique vivante et en assurer l’accès à tous?
10	Comment vivre ensemble sans racisme ni discrimination?
6	Comment dynamiser toutes nos communautés?
14	On a oublié quelque chose?
15	(Question manquante)
17	(Question manquante)
16	(Question manquante)
